1 2 3 
10 9 8 
3 2 11 
4 1 6 

10 9 8 
3 2 11 
4 1 12 

10 9 8 
7 4 3 
6 1 2 

10 9 8 
7 4 3 
12 1 2 

11 2 1 
8 3 4 
9 10 7 

11 2 1 
8 3 10 
9 4 7 

11 2 1 
8 9 4 
3 10 7 

11 2 1 
8 9 10 
3 4 7 

11 2 3 
6 1 4 
5 12 7 

11 2 3 
6 1 4 
7 10 9 

11 2 3 
6 1 10 
5 12 7 

11 2 3 
6 1 10 
7 4 9 

11 2 3 
12 1 4 
5 6 7 

11 2 3 
12 1 4 
7 10 9 

11 2 3 
12 1 10 
5 6 7 

11 2 3 
12 1 10 
7 4 9 

11 2 9 
6 1 4 
5 12 7 

11 2 9 
6 1 4 
7 10 3 

11 2 9 
6 1 10 
5 12 7 

11 2 9 
6 1 10 
7 4 3 

11 2 9 
12 1 4 
5 6 7 

11 2 9 
12 1 4 
7 10 3 

11 2 9 
12 1 10 
5 6 7 

11 2 9 
12 1 10 
7 4 3 

11 6 5 
2 1 12 
3 4 7 

11 6 5 
2 1 12 
3 10 7 

11 6 5 
2 1 12 
9 4 7 

11 6 5 
2 1 12 
9 10 7 

11 6 5 
12 1 2 
7 4 3 

11 6 5 
12 1 2 
7 4 9 

11 6 5 
12 1 2 
7 10 3 

11 6 5 
12 1 2 
7 10 9 

11 6 7 
2 1 4 
3 10 9 

11 6 7 
2 1 4 
9 10 3 

11 6 7 
2 1 10 
3 4 9 

11 6 7 
2 1 10 
9 4 3 

11 6 7 
8 5 12 
3 2 1 

11 6 7 
8 5 12 
9 2 1 

11 6 7 
12 1 4 
5 2 3 

11 6 7 
12 1 4 
5 2 9 

11 6 7 
12 1 10 
5 2 3 

11 6 7 
12 1 10 
5 2 9 

11 8 3 
2 9 4 
1 10 7 

11 8 3 
2 9 10 
1 4 7 

11 8 3 
6 5 2 
7 12 1 

11 8 3 
12 5 2 
7 6 1 

11 8 9 
2 3 4 
1 10 7 

11 8 9 
2 3 10 
1 4 7 

11 8 9 
6 5 2 
7 12 1 

11 8 9 
12 5 2 
7 6 1 

11 12 5 
2 1 6 
3 4 7 

11 12 5 
2 1 6 
3 10 7 

11 12 5 
2 1 6 
9 4 7 

11 12 5 
2 1 6 
9 10 7 

11 12 5 
6 1 2 
7 4 3 

11 12 5 
6 1 2 
7 4 9 

11 12 5 
6 1 2 
7 10 3 

11 12 5 
6 1 2 
7 10 9 

11 12 7 
2 1 4 
3 10 9 

11 12 7 
2 1 4 
9 10 3 

11 12 7 
2 1 10 
3 4 9 

11 12 7 
2 1 10 
9 4 3 

11 12 7 
6 1 4 
5 2 3 

11 12 7 
6 1 4 
5 2 9 

11 12 7 
6 1 10 
5 2 3 

11 12 7 
6 1 10 
5 2 9 

11 12 7 
8 5 6 
3 2 1 

11 12 7 
8 5 6 
9 2 1 

12 1 2 
7 4 3 
10 9 8 

12 1 2 
7 4 9 
10 3 8 

12 1 2 
7 10 3 
4 9 8 

12 1 2 
7 10 9 
4 3 8 

12 1 4 
5 2 3 
6 11 8 

12 1 4 
5 2 3 
8 9 10 

12 1 4 
5 2 9 
6 11 8 

12 1 4 
5 2 9 
8 3 10 

12 1 4 
11 2 3 
6 5 8 

12 1 4 
11 2 3 
8 9 10 

12 1 4 
11 2 9 
6 5 8 

12 1 4 
11 2 9 
8 3 10 

12 1 10 
5 2 3 
6 11 8 

12 1 10 
5 2 3 
8 9 4 

12 1 10 
5 2 9 
6 11 8 

12 1 10 
5 2 9 
8 3 4 

12 1 10 
11 2 3 
6 5 8 

12 1 10 
11 2 3 
8 9 4 

12 1 10 
11 2 9 
6 5 8 

12 1 10 
11 2 9 
8 3 4 

12 5 6 
1 2 11 
4 3 8 

12 5 6 
1 2 11 
4 9 8 

12 5 6 
1 2 11 
10 3 8 

12 5 6 
1 2 11 
10 9 8 

12 5 6 
11 2 1 
8 3 4 

12 5 6 
11 2 1 
8 3 10 

12 5 6 
11 2 1 
8 9 4 

12 5 6 
11 2 1 
8 9 10 

12 5 8 
1 2 3 
4 9 10 

12 5 8 
1 2 3 
10 9 4 

12 5 8 
1 2 9 
4 3 10 

12 5 8 
1 2 9 
10 3 4 

12 5 8 
7 6 11 
4 1 2 

12 5 8 
7 6 11 
10 1 2 

12 5 8 
11 2 3 
6 1 4 

12 5 8 
11 2 3 
6 1 10 

12 5 8 
11 2 9 
6 1 4 

12 5 8 
11 2 9 
6 1 10 

12 7 4 
1 10 3 
2 9 8 

12 7 4 
1 10 9 
2 3 8 

12 7 4 
5 6 1 
8 11 2 

12 7 4 
11 6 1 
8 5 2 

12 7 10 
1 4 3 
2 9 8 

12 7 10 
1 4 9 
2 3 8 

12 7 10 
5 6 1 
8 11 2 

12 7 10 
11 6 1 
8 5 2 

12 11 6 
1 2 5 
4 3 8 

12 11 6 
1 2 5 
4 9 8 

12 11 6 
1 2 5 
10 3 8 

12 11 6 
1 2 5 
10 9 8 

12 11 6 
5 2 1 
8 3 4 

12 11 6 
5 2 1 
8 3 10 

12 11 6 
5 2 1 
8 9 4 

12 11 6 
5 2 1 
8 9 10 

12 11 8 
1 2 3 
4 9 10 

12 11 8 
1 2 3 
10 9 4 

12 11 8 
1 2 9 
4 3 10 

12 11 8 
1 2 9 
10 3 4 

12 11 8 
5 2 3 
6 1 4 

12 11 8 
5 2 3 
6 1 10 

12 11 8 
5 2 9 
6 1 4 

12 11 8 
5 2 9 
6 1 10 

12 11 8 
7 6 5 
4 1 2 

12 11 8 
7 6 5 
10 1 2 

